Year,Date,Park Name and Location,Area Name,UnitCode
1907,4-Mar,"Jean Lafitte National Historical Park and Preserve, Louisiana (incorporated Chalmette National Historical Park 1978)",JEAN LAFITTE NHP &PRES,JELA
1935,21-Dec,"Jefferson National Expansion Memorial, Missouri (Gateway Arch authorized 1954)",,JEFF
1908,7-Feb,"Jewel Cave National Monument, South Dakota",JEWEL CAVE NM,JECA
1987,23-Dec,"Jimmy Carter National Historic Site, Georgia",JIMMY CARTER NHS,JICA
1972,25-Aug,"John D. Rockefeller, Jr., Memorial Parkway, Wyoming",JDROCKEFELLER MEM PKWY,
1975,8-Oct,"John Day Fossil Beds National Monument, Oregon",JOHN DAY FOS BEDS NM,JODA
1967,26-May,"John Fitzgerald Kennedy National Historic Site, Massachusetts",J F KENNEDY NHS,JOFI
1964,31-Aug,"John Muir National Historic Site, California",JOHN MUIR NHS,JOMU
1964,31-Aug,"Johnstown Flood National Memorial, Pennsylvania",JOHNSTOWN FLOOD NMEM,JOFL
1936,10-Aug,"Joshua Tree National Park, California (incorporated Joshua Tree National Monument 1994)",JOSHUA TREE NP,JOTR
1980,22-Dec,"Kalaupapa National Historical Park, Hawaii",KALAUPAPA NHP,KALA
1978,10-Nov,"Kaloko-Honokohau National Historical Park, Hawaii",KALOKO-HONOKOHAU NHP,KAHO
2016,24-Aug,"Katahdin Woods and Waters National Monument, Maine",KATAHDIN WOODS AND WATERS NM,KAWW
1918,24-Sep,"Katmai National Park and Katmai National Preserve, Alaska (originally a National Monument, redesignated by ANILCA 1980)",KATMAI NP,KATM
1978,1-Dec,"Kenai Fjords National Park, Alaska (redesignated from a National Monument by ANILCA 1980)",KENAI FJORDS NP,KEFJ
1917,18-Feb,"Kennesaw Mountain National Battlefield Park, Georgia (originally a NBS; redesignated 1935)",KENNESAW MT NBP,KEMO
1992,27-Oct,"Keweenaw National Historical Park, Michigan",KEWEENAW NHP,KEWE
1890,1-Oct,"Kings Canyon National Park, California (incorporated General Grant National Park 1940)",KINGS CANYON NP,KICA
1933,10-Aug,"Kings Mountain National Military Park, South Carolina",KINGS MT NMP,KIMO
1976,30-Jun,"Klondike Gold Rush National Historical Park, Alaska and Washington",KLONDIKE GOLD RUSH NHP,KLGO
1974,26-Oct,"Knife River Indian Villages National Historic Site, North Dakota",KNIFE RIVER INDIAN VIL NH,KNRI
1978,1-Dec,"Kobuk Valley National Park, Alaska (redesignated from a National Park by ANILCA 1980)",KOBUK VALLEY NP,KOVA
1986,28-Oct,"Korean War Veterans Memorial, District of Columbia (dedicated 1995)",KOREAN WAR VETERANS MEM,KOWA
1968,2-Oct,"Lake Chelan National Recreation Area, Washington",LAKE CHELAN NRA,LACH
1978,1-Dec,"Lake Clark National Park and Lake Clark National Preserve, Alaska (originally a National Monument; redesignated by ANILCA 1980)",LAKE CLARK NP,LACL
1964,8-Oct,Lake Mead National Recreation Area,LAKE MEAD NRA,LAKE
1965,15-Mar,"Lake Meredith National Recreation Area, Texas (name changed from Sanford National Recreation Area, 1972; redesignated Nov. 28, 1990)",LAKE MEREDITH NRA,LAMR
1946,18-Dec,"Lake Roosevelt National Recreation Area, Washington (administered under cooparative agreement starting 1990; redesignated from Coulee Dam National Recreation Area 1997)",LAKE ROOSEVELT NRA,LARO
1907,6-May,"Lassen Volcanic National Park, California (incorporated Cinder Cone and Lassen Peak NMs August 9, 1916)",LASSEN VOLCANIC NP,LAVO
1925,21-Nov,"Lava Beds National Monument, California",LAVA BEDS NM,LABE
1958,29-May,"Lewis and Clark National Historical Park, Oregon (incorporated Fort Clatsop National Monument October 30, 2004)",LEWIS AND CLARK NHP,LEWI
1962,19-Feb,"Lincoln Boyhood National Memorial, Indiana",LINCOLN BOYHOOD NMEM,LIBO
1971,18-Aug,"Lincoln Home National Historic Site, Illinois",LINCOLN HOME NHS,LIHO
1911,9-Feb,"Lincoln Memorial, District of Columbia (dedicated 1922)",LINCOLN MEMORIAL,LINC
1886,7-Dec,"Little Bighorn Battlefield National Monument, Montana (renamed from Custer Battlefield National Monument 1991; redesignated 1946 from National Cemetery of Custer's Battlefield Reservation)",LITTLE BIGHORN BATTLEFLD,LIBI
1992,21-Oct,"Little River Canyon National Preserve, Alabama",LITTLE RIVER CANYON,LIRI
1998,6-Nov,"Little Rock Central High School National Historic Site, Arkansas",LITTLE ROCK CENTRAL HS NH,CHSC
1972,9-Oct,"Longfellow House â€“ Washingtonâ€™s Headquarters National Historic Site, Massachusetts (redesignated from Longfellow National Historic Site 2010)",LONGFELLOW HOUSE-WASH HQ NHS,LONG
1978,5-Jun,"Lowell National Historical Park, Massachusetts",LOWELL NHP,LOWE
1969,2-Dec,"Lyndon B. Johnson National Historical Park, Texas (redesignated from a National Historic Site 1980)",LYNDON B JOHNSON NHP,LYJO
1973,28-Dec,"Lyndon Baines Johnson Memorial Grove on the Potomac, District of Columbia",LBJ MEM GROVE ON THE POTOMAC,LYBA
1978,10-Nov,"Maggie L. Walker National Historic Site, Virginia",MAGGIE L WALKER NHS,MAWA
1926,25-May,"Mammoth Cave National Park, Kentucky",MAMMOTH CAVE NP,MACA
1936,14-Nov,"Manassas National Battlefield Park, Virginia (redesignated from Bull Run Recreational Demonstration Area May 10, 1940)",MANASSAS NBP,MANA
2015,10-Nov,"Manhattan Project National Historical Park, New Mexico, Washington, and Tennesee",MANHATTAN PROJECT NHP,MAPR
1992,3-Mar,"Manzanar National Historic Site, California",MANZANAR NHS,MANZ
1992,26-Aug,"Marsh-Billings National Historical Park, Vermont (redesignated Marsh-Billings-Rockefeller National Historical Park 1998)",MARSH-BILLINGS-ROCKEFELLER N,MABI
2011,28-Aug,"Martin Luther King, Jr. Memorial, District of Columbia","MARTIN L KING, JR, MEMORIAL",MLKM
1980,10-Oct,"Martin Luther King, Junior, National Historic Site, Georgia","MARTIN L KING, JR, NHP",MALU
1974,26-Oct,"Martin Van Buren National Historic Site, New York",MARTIN VAN BUREN NHS,MAVA
1991,11-Dec,"Mary McLeod Bethune Council House National Historic Site, District of Columbia (designated 1982)",M MCLEOD BETHUNE HOUSE NHS,MAMC
1906,29-Jun,"Mesa Verde National Park, Colorado",MESA VERDE NP,MEVE
1978,10-Nov,"Middle Delaware National Scenic River, Pennsylvania",MIDDLE DELAWARE NSR,
2001,19-Sep,"Minidoka National Historic Site, Idaho (established Minidoka Internment National Monument August 1942; redesignated Minidoka National Historic Site 2008",MINIDOKA NHS,MIIN
1959,14-Apr,"Minute Man National Historic Site, Massachusetts (redesignated a National Historical Park Sept. 21, 1959)",MINUTE MAN NHP,MIMA
1999,29-Nov,"Minuteman Missile National Historic Site, South Dakota",MINUTEMAN MISSILE NHS,MIMI
1988,18-Nov,"Mississippi National River and Recreation Area, Minnesota",MISSISSIPPI N RVR & RA,MISS
1978,10-Nov,"Missouri National Recreational River, Nebraska",MISSOURI N REC RIVER,MNRR
1994,31-Oct,"Mojave National Preserve, California",MOJAVE NATIONAL PRESERVE,MOJA
1934,21-Jun,"Monocacy National Battlefield, Maryland (reauthorized and redesignated from a National Military Park Oct. 21, 1976)",MONOCACY NB,MONO
1906,8-Dec,"Montezuma Castle National Monument, Arizona",MONTEZUMA CASTLE NM,MOCA
1926,2-Jun,"Moores Creek National Battlefield, North Carolina (originally a National Military Park; redesignated 1980)",MOORES CREEK NB,MOCR
1933,2-Mar,"Morristown National Historical Park, New Jersey",MORRISTOWN NHP,MORR
1899,2-Mar,"Mount Rainier National Park, Washington",MT RAINIER NP,MORA
1925,3-Mar,"Mount Rushmore National Memorial, South Dakota (acquired 1939)",MT RUSHMORE NMEM,MORU
1908,9-Jan,"Muir Woods National Monument, California",MUIR WOODS NM,MUWO
1988,7-Oct,"Natchez National Historical Park, Mississippi",NATCHEZ NHP,NATC
1983,28-Mar,"Natchez Trace National Scenic Trail, Mississippi",NATCHEZ TRACE NS TRAIL,NATT
1934,19-Jun,"Natchez Trace Parkway, Mississippi (incorporated Ackia Battleground National Monument and Meriwether Lewis National Monument 1961)",NATCHEZ TRACE PKWY,NATR
1933,10-Aug,"National Capital Parks, District of Columbia (incorporated Baltimore-Washington Parkway 1975)",NATIONAL CAPITAL PARKS,NACE
1790,16-Jul,"National Mall, District of Columbia",NATIONAL MALL,NAMA
1988,31-Oct,"National Park of American Samoa, American Samoa",NP OF AMERICAN SAMOA,NPSA
1908,16-Apr,"Natural Bridges National Monument, Utah",NATURAL BRIDGES NM,NABR
1909,20-Mar,"Navajo National Monument, Arizona",NAVAJO NM,NAVA
1996,12-Nov,"New Bedford Whaling National Historical Park, Massachusetts",NEW BEDFORD WHALING,NEBE
1994,31-Oct,"New Orleans Jazz National Historical Park, Louisiana",NEW ORLEANS JAZZ NHP,JAZZ
1978,10-Nov,"New River Gorge National River, West Virginia",NEW RIVER GORGE N RVR,NERI
1965,15-May,"Nez Perce National Historical Park, Idaho",NEZ PERCE NHP,NEPE
1996,12-Nov,"Nicodemus National Historic Site, Kansas",NICODEMUS NHS,NICO
1976,19-Aug,"Ninety Six National Historic Site, South Carolina",NINETY SIX NHS,NISI
1991,24-May,"Niobrara National Scenic River, Nebraska",NIOBRARA N. SCENIC RIVER,NIOB
1978,1-Dec,"Noatak National Preserve, Alaska (incorporated Noatak National Monument by ANILCA 1980)",NOATAK N PRESERVE,NOAT
1968,2-Oct,"North Cascades National Park, Washington",NORTH CASCADES NP,NOCA
1976,12-Oct,"Obed WSR, Tennessee",OBED WILD & SCENIC RVR,OBRI
1934,14-Jun,"Ocmulgee National Monument, Georgia",OCMULGEE MOUNDS NHP,OCMU
1909,2-Mar,"Olympic National Park, Washington (incorporated Mount Olympus National Monument)",OLYMPIC NP,OLYM
1909,12-Jul,"Oregon Caves National Monument, Oregon",OREGON CAVES NM & PRES,ORCA
1937,13-Apr,"Organ Pipe Cactus National Monument, Arizona",ORGAN PIPE CACTUS NM,ORPI
1964,27-Aug,"Ozark National Scenic Riverways, Missouri",OZARK NS RIVERWAYS,OZAR
1962,28-Sep,"Padre Island National Seashore, Texas",PADRE ISLAND NS,PAIS
1978,10-Nov,"Palo Alto Battlefield National Historical Park, Texas (redesignated from a National Historic Site 2009)",PALO ALTO BTLFLD NHP,PAAL
2011,7-Nov,"Paterson Great Falls National Historical Park, New Jersey",PATERSON GREAT FALLS NHP,PAGR
1956,20-Jul,"Pea Ridge National Military Park, Arkansas",PEA RIDGE NMP,PERI
2019,12-Mar,"Pearl Harbor National Memorial, Hawaii",PEARL HARBOR NMEM,VALR
1965,28-Jun,"Pecos National Historical Park, New Mexico (incorporated Pecos National Monument June 27, 1990)",PECOS NHP,PECO
1987,30-Sep,"Pennsylvania Avenue National Historic Site, District of Columbia (designated 1965)",PENNSYLVANIA AVE NHS,PAAV
1936,2-Jun,"Perry's Victory and International Peace Memorial, Ohio (redesignated 1972)",PERRY'S VIC & INT PEACE M,PEVI
1926,3-Jul,"Petersburg National Military Park, Virginia (redesignated a National Battlefield 1962)",PETERSBURG NB,PETE
1906,8-Dec,"Petrified Forest National Park, Arizona (redesignated from a National Monument 1962)",PETRIFIED FOREST NP,PEFO
1990,27-Jun,"Petroglyph National Monument, New Mexico",PETROGLYPH NM,PETR
1966,15-Oct,"Pictured Rocks National Lakeshore, Michigan",PICTURED ROCKS NL,PIRO
1908,16-Jan,"Pinnacles National Park, California (redesignated from a National Monument 2013)",PINNACLES NP,PINN
1923,31-May,"Pipe Spring National Monument, Arizona",PIPE SPRING NM,PISP
1937,25-Aug,"Pipestone National Monument, Minnesota",PIPESTONE NM,PIPE
1961,4-Oct,"Piscataway Park, Maryland",PISCATAWAY PARK,PISC
1962,13-Sep,"Point Reyes National Seashore, California",POINT REYES NS,PORE
2009,28-Oct,"Port Chicago Naval Magazine National Memorial, California",PORT CHICAGO NAVAL MAG N MEM,POCH
1983,28-Mar,"Potomac Heritage National Scenic Trail, District of Columbia, Maryland, Pennsylvania, and Virginia",POTOMAC HERITAGE NST,POHE
1988,31-Oct,"Poverty Point National Monument, Louisiana",POVERTY POINT NM,POPO
2010,14-Dec,"President William Jefferson Clinton Birthplace Home National Historic Site, Arkansas",PRESIDENT WJ CLINTON BP NHS,WICL
1936,14-Nov,"Prince William Forest Park, Virginia (redesignated from Chopawamsic Recreational Demonstration Area 1948)",PRINCE WM FOREST PARK,PRWI
1972,17-Aug,"Pu`ukoholÄ, Heiau National Historic Site, Hawaii",PU'UHONUA O HONAUNAU,PUHO
1955,26-Jul,"Puâ€™uhonua o HÅ,naunau National Historical Park, Hawaii (redesignated from City of Refuge National Historical Park 1978)",PUUKOHOLA HEIAU NHS,PUHE
2015,19-Feb,"Pullman National Monument, Illinois",PULLMAN NM,PULL
1910,30-May,"Rainbow Bridge National Monument, Utah",RAINBOW BRIDGE NM,RABR
2017,13-Jan,"Reconstruction Era National Monument, South Carolina",RECONSTRUCTION ERA NHP,REER
1968,2-Oct,"Redwood National Park, California",REDWOOD NP,REDW
1936,2-Mar,"Richmond National Battlefield Park, Virginia",RICHMOND NBP,RICH
1978,10-Nov,"Rio Grande WSR, Texas",RIO GRANDE WILD & SR,RIGR
2010,22-Oct,"River Raisin National Battlefield Park, Michigan",RIVER RAISIN NBP,RIRA
1890,27-Sep,"Rock Creek Park, District of Columbia",ROCK CREEK PARK,ROCR
1915,26-Jan,"Rocky Mountain National Park, Colorado",ROCKY MT NP,ROMO
1965,22-Oct,"Roger Williams National Memorial, Rhode Island",ROGER WILLIAMS NMEM,ROWI
2000,24-Oct,"Rosie the Riveter WWII Home Front National Historical Park, California",ROSIE THE RIVETER  NHP,RORI
1968,2-Oct,"Ross Lake National Recreation Area, Washington",ROSS LAKE NRA,ROLA
1961,11-May,"Russell Cave National Monument, Alabama",RUSSELL CAVE NM,RUCA
1962,25-Jul,"Sagamore Hill National Historic Site, New York",SAGAMORE HILL NHS,SAHI
1933,1-Mar,"Saguaro National Park, Arizona (redesignated from a National Monument 1994)",SAGUARO NP,SAGU
1949,8-Jun,"Saint Croix Island National Monument, Maine (redesignated an International Historic Site 1984)",ST CROIX ISLAND IHS,SACR
1968,2-Oct,"Saint Croix National Scenic Riverway, Wisconsin",SAINT CROIX NSR,SACN
1978,10-Nov,"Saint Paul's Church National Historic Site, New York (designated 1943)",ST PAUL'S CHURCH NHS,SAPA
1964,31-Aug,"Saint-Gaudens National Historic Site, New Hampshire",SAINT-GAUDENS NHP,SAGA
1938,17-Mar,"Salem Maritime National Historic Site, Massachusetts",SALEM MARITIME NHS,SAMA
1980,19-Dec,"Salinas Pueblo Missions National Monument, New Mexico (proclaimed Gran Quivira National Monument 1909; renamed Salinas National Monument 1980, renamed 1988)",SALINAS PUEBLO MSNS NM,SAPU
1992,24-Feb,"Salt River Bay National Historical Park and Ecological Preserve, Virgin Islands",SALT RVR BAY NHP,SARI
1978,10-Nov,"San Antonio Missions National Historical Park, Texas",SAN ANTONIO MISSIONS NHP,SAAN
1988,27-Jun,"San Francisco Maritime National Historical Park, California (formerly part of Golden Gate National Recreation Area)",SAN FRAN MARITIME NHP,SAFR
1966,9-Sep,"San Juan Island National Historical Park, Washington",SAN JUAN ISLAND NHP,SAJH
1949,14-Feb,"San Juan National Historic Site, Puerto Rico",SAN JUAN NHS,SAJU
2007,27-Apr,"Sand Creek Massacre National Historic Site, Colorado",SAND CREEK MASSACRE NHS,SAND
1978,10-Nov,"Santa Monica Mountains National Recreation Area, California",SANTA MONICA MTS NRA,SAMO
1938,1-Jun,"Saratoga National Historical Park, New York",SARATOGA NHP,SARA
1968,5-Apr,"Saugus Iron Works National Historic Site, Massachusetts",SAUGUS IRON WORKS NHS,SAIR
1919,12-Dec,"Scotts Bluff National Monument, Nebraska",SCOTTS BLUFF NM,SCBL
1890,25-Sep,"Sequoia National Park, California",SEQUOIA NP,SEQU
1926,22-May,"Shenandoah National Park, Virginia",SHENANDOAH NP,SHEN
1894,27-Dec,"Shiloh National Military Park, Tennessee",SHILOH NMP,SHIL
1910,23-Mar,"Sitka National Historical Park, Alaska (redesignated from a National Monument 1972)",SITKA NHP,SITK
1970,21-Oct,"Sleeping Bear Dunes National Lakeshore, Michigan",SLEEPING BEAR DUNES NL,SLBE
1974,26-Oct,"Springfield Armory National Historic Site, Massachusetts",SPRINGFIELD ARMORY NHS,SPAR
1877,3-Mar,"Statue of Liberty, New York (accepted; dedicated 1886; designated a National Monument 1924)",STATUE OF LIBERTY NM,STLI
1986,30-Oct,"Steamtown National Historic Site, Pennsylvania",STEAMTOWN NHS,STEA
1927,3-Mar,"Stones River National Battlefield, Tennessee (originally a National Military Park; redesignated 1980)",STONES RIVER NB,STRI
2016,24-Jun,"Stonewall National Monument, New York",STONEWALL NM,STON
1930,26-May,"Sunset Crater Volcano National Monument, Arizona (redesignated from Sunset Crater Volcano National Monument 1990)",SUNSET CRATER VOLC NM,SUCR
1996,12-Nov,"Tallgrass Prairie National Preserve, Kansas",TALLGRASS PRAIRIE NPRE,TAPR
1972,21-Oct,"Thaddeus Kosciuszko National Memorial, Pennsylvania",T KOSCIUSZKO NMEM,THKO
1962,25-Jul,"Theodore Roosevelt Birthplace National Historic Site, New York",T ROOSEVELT BIRTHPLACE NHS,THRB
1966,2-Nov,"Theodore Roosevelt Inaugural National Historic Site, New York",T ROOSEVELT INAUG NHS,THRI
1932,21-May,"Theodore Roosevelt Island, District of Columbia",T ROOSEVELT ISLAND,THIS
1947,25-Apr,"Theodore Roosevelt National Park, North Dakota (authorized Theodore Roosevelt National Memorial Park, redesignated 1978)",T ROOSEVELT NP,THRO
1955,6-Dec,"Thomas Edison National Historical Park, New Jersey (originally Edison Home National Historic Site; incorporated in Edison National Historic Site 1962; redesignated 2009)",THOMAS EDISON NHP,EDIS
1934,26-Jun,"Thomas Jefferson Memorial, District of Columbia (dedicated 1943)",THOMAS JEFFERSON MEM,JEFM
1978,10-Nov,"Thomas Stone National Historic Site, Maryland",THOMAS STONE NHS,THST
1922,14-Oct,"Timpanogos Cave, Utah",TIMPANOGOS CAVE NM,TICA
1988,16-Feb,"Timucuan Ecological and Historic Preserve, Florida",TIMUCUAN ECO & H PRES,TIMU
1907,19-Dec,"Tonto National Monument, Arizona",TONTO NM,TONT
2019,12-Mar,"Tule Lake National Monument, California",TULE LAKE NM,TULE
2014,19-Dec,"Tule Springs Fossil Beds National Monument, Nevada",TULE SPRINGS FOSSIL BEDS NM,TUSK
1908,15-Sep,"Tumacacori National Historical Park, Arizona (incorporated National Monument 1990)",TUMACACORI NHP,TUMA
1933,10-Aug,"Tupelo National Battlefield, Mississippi",TUPELO NB,TUPE
1998,6-Nov,"Tuskegee Airmen National Historic Site, Alabama",TUSKEGEE AIRMEN NHS,TUAI
1974,26-Oct,"Tuskegee Institute National Historic Site, Alabama",TUSKEGEE INSTITUTE NHS,TUIN
1939,25-Jul,"Tuzigoot National Monument, Arizona",TUZIGOOT NM,TUZI
1989,2-Oct,"Ulysses S. Grant National Historic Site, Missouri",ULYSSES S GRANT NHS,ULSG
1978,10-Nov,"Upper Delaware Scenic and Recreational River, Pennsylvania",UPPER DEL SCENIC & R RVR,UPDE
2014,19-Dec,"Valles Caldera National Preserve, New Mexico",VALLES CALDERA N PRES,VALL
1976,4-Jul,"Valley Forge National Historical Park, Pennsylvania",VALLEY FORGE NHP,VAFO
1940,18-Dec,"Vanderbilt Mansion National Historic Site, New York",VANDERBILT MANSION NHS,VAMA
1899,21-Feb,"Vicksburg National Military Park, Mississippi",VICKSBURG NMP,VICK
1980,1-Jul,"Vietnam Veterans Memorial, District of Columbia (dedicated 1982)",VIETNAM VETERANS MEM,VIVE
2001,17-Jan,"Virgin Islands Coral Reef National Monument, Virgin Islands",VIRGIN ISLANDS CORAL REEF,VICR
1956,2-Aug,"Virgin Islands National Park, Virgin Islands",VIRGIN ISLANDS NP,VIIS
1971,8-Jan,"Voyageurs National Park, Minnesota",VOYAGEURS NP,VOYA
2015,10-Jul,"Waco Mammoth National Monument, Texas",WACO MAMMOTH NM,WACO
1915,30-Nov,"Walnut Canyon National Monument, Arizona",WALNUT CANYON NM,WACA
1978,15-Aug,"War in the Pacific National Historical Park, Guam",WAR IN THE PACIFIC NHP,WAPA
1876,2-Aug,"Washington Monument, District of Columbia (accepted; dedicated 1885)",WASHINGTON MONUMENT,WAMO
1996,12-Nov,"Washita Battlefield National Historic Site, Oklahoma",WASHITA BATTLEFIELD NHS,WABA
1990,31-Oct,"Weir Farm National Historic Site, Connecticut",WEIR FARM NHS,WEFA
1965,8-Nov,"Whiskeytown-Shasta-Trinity National Recreation Area, California (Whiskeytown Unit)",WHISKEYTOWN-S-T NRA,WHIS
1792,10-Oct,"White House (Presidents Park), District of Columbia (transferred to the NPS August 10, 1933)",WHITE HOUSE,WHHO
1933,18-Jan,"White Sands National Park, New Mexico (redesignated from White Sands National Monument 2019)",WHITE SANDS NP,WHSA
1936,29-Jun,"Whitman Mission National Historic Site, Washington (redesignated from Whitman National Monument 1963)",WHITMAN MISSION NHS,WHMI
1969,2-Dec,"William Howard Taft National Historic Site, Ohio",WILLIAM H TAFT NHS,WIHO
1960,22-Apr,"Wilson's Creek National Battlefield, Missouri (redesignated from a National Park 1970)",WILSONS CREEK NB,WICR
1903,9-Jan,"Wind Cave National Park, South Dakota",WIND CAVE NP,WICA
1966,15-Oct,"Wolf Trap National Park for the Performing Arts, Virginia",WOLF TRAP NP FOR PERF ARTS,WOTR
1980,28-Dec,"Women's Rights National Historical Park, New York",WOMEN'S RIGHTS NHP,WORI
2014,19-Dec,"World War I Memorial, District of Columbia",WORLD WAR I NMEM,
2004,29-May,"World War II Memorial, District of Columbia (authorized May 25, 1993)",NATIONAL WWII MEMORIAL,WWII
1980,9-Sep,"World War II Valor in the Pacific National Monument, Hawaii (incorp. USS Arizona Memorial 2008)",,
1978,1-Dec,"Wrangell-St. Elias National Park and Wrangell-St. Elias National Preserve, Alaska (incorporated Wrangell-St. Elias National Monument by ANILCA 1980)",WRANGELL-ST ELIAS NP,WRST
1927,2-Mar,"Wright Brothers National Memorial, North Carolina (originally Kill Devil Hill Monument, redesignated 1953)",WRIGHT BROTHERS NMEM,WRBR
1924,9-Dec,"Wupatki National Monument, Arizona",WUPATKI NM,WUPA
1872,1-Mar,"Yellowstone National Park, Idaho, Montana, and Wyoming",YELLOWSTONE NP,YELL
1890,1-Oct,"Yosemite National Park, California (incorporated Yosemite State Park 1906)",YOSEMITE NP,YOSE
1919,19-Dec,"Yucca House National Monument, Colorado",YUCCA HOUSE NM,YUHO
1978,1-Dec,"Yukon-Charley Rivers National Preserve, Alaska (redesignated from Yukon-Charley National Monument by ANILCA 1980)",YUKON-CHARLEY RIVERS N PR,YUCH
1909,31-Jul,"Zion National Park, Utah (incorporated Zion National Monument 1956; incorporated Mukuntuweap National Monument 1918)",ZION NP,ZION
